,naem,spec
1,potoshop,RTX2080
2,potoshop,RTX2070
3,potoshop,RTX2060
4,potoshop,GTX1080
5,potoshop,GTX1070
6,potoshop,GTX1660 Ti
7,potoshop,GTX1060
8,potoshop,GTX1050 Ti
9,potoshop,GTX1650
10,potoshop,GTX1050
11,after effects,16GB
12,after effects,32GB
13,premiere pro,HD 6000
14,premiere pro,HD 5500
15,premiere pro,HD 5300
16,premiere pro,HD 5000
17,premiere pro,Iris Plus 655
18,premiere pro,Iris Plus 650
19,premiere pro,Iris Plus 640
20,premiere pro,Iris Plus 645
21,premiere pro,RTX2070
22,premiere pro,RTX2060
23,premiere pro,GTX1080
24,premiere pro,GTX1070
25,premiere pro,GTX1660 Ti
26,premiere pro,GTX1060
27,premiere pro,GTX1050 Ti
28,premiere pro,GTX1650
29,premiere pro,GTX1050
30,premiere pro,GTX980M
31,premiere pro,GTX970M
32,illustrator,HD 6000
33,illustrator,HD 5500
34,illustrator,HD 5300
35,illustrator,HD 5000
36,illustrator,HD 4600
37,illustrator,Iris Pro 5200
38,illustrator,Iris 6100
39,illustrator,RTX2080
40,illustrator,RTX2070
41,illustrator,RTX2060
42,illustrator,GTX1080
43,illustrator,GTX1070
44,illustrator,GTX1660 Ti
45,illustrator,GTX1060
46,illustrator,GTX1050 Ti
47,illustrator,GTX1650
48,illustrator,GTX1050
49,illustrator,GTX980M
50,illustrator,GTX970M
51,illustrator,GTX960M
52,illustrator,GTX950M
53,illustrator,GTX850M
